0,2656,100
1.8,-1000,0
3.6,2450,100
5.4,2668,100
7.2,2748,100
9,2775,100
10.8,18625,100
12.6,786,100
14.4,-1000,0
16.2,-1000,0
18,-1000,0
19.8,-1000,0
21.6,-1000,0
23.4,-1000,0
25.2,-1000,0
27,-1000,0
28.8,-1000,0
30.6,-1000,0
32.4,-1000,0
34.2,-1000,0
36,-1000,0
37.8,-1000,0
39.6,-1000,0
41.4,-1000,0
43.2,3019,100
45,2921,100
46.8,2984,100
48.6,3076,100
50.4,3106,100
52.2,2998,100
54,2446,100
55.8,2790,100
57.6,2718,100
59.4,2653,100
61.2,-1000,0
63,2561,100
64.8,2545,100
66.6,2546,100
68.4,2546,100
70.2,2546,100
72,2546,100
73.8,1587,100
75.6,1698,100
77.4,2408,100
79.2,2363,100
81,2316,100
82.8,2279,100
84.6,2238,100
86.4,2207,100
88.2,2175,100
90,2148,100
91.8,2123,100
93.6,2099,100
95.4,2152,100
97.2,2233,100
99,2210,100
100.8,2228,100
102.6,2256,100
104.4,2111,100
106.2,21587,100
108,2094,100
109.8,2094,100
111.6,2095,100
113.4,2084,100
115.2,2075,100
117,3371,100
118.8,-1000,0
120.6,-1000,0
122.4,-1000,0
124.2,2693,100
126,2714,100
127.8,2741,100
129.6,2771,100
131.4,2802,100
133.2,2839,100
135,2878,100
136.8,2726,100
138.6,-1000,0
140.4,-1000,0
142.2,-1000,0
144,3146,100
145.8,1938,100
147.6,1946,100
149.4,1698,100
151.2,1631,100
153,1571,100
154.8,1566,100
156.6,1617,100
158.4,1669,100
160.2,1734,100
162,1801,100
163.8,1876,100
165.6,1962,100
167.4,2057,100
169.2,2162,100
171,2287,100
172.8,2422,100
174.6,2326,100
176.4,2102,100
178.2,2065,100
180,1940,100
181.8,1918,100
183.6,1903,100
185.4,1884,100
187.2,1880,100
189,2490,100
190.8,2361,100
192.6,2379,100
194.4,2259,100
196.2,1684,100
198,1657,100
199.8,1554,100
201.6,1536,100
203.4,1479,100
205.2,1064,100
207,1064,100
208.8,1068,100
210.6,1074,100
212.4,1078,100
214.2,1089,100
216,1095,100
217.8,1106,100
219.6,1194,100
221.4,1185,100
223.2,1214,100
225,2534,100
226.8,2550,100
228.6,-1000,0
230.4,1775,100
232.2,1766,100
234,1768,100
235.8,1841,100
237.6,1680,100
239.4,1665,100
241.2,2983,100
243,2277,100
244.8,2051,100
246.6,2032,100
248.4,1993,100
250.2,2011,100
252,2000,100
253.8,2023,100
255.6,1894,100
257.4,1921,100
259.2,1973,100
261,1994,100
262.8,2024,100
264.6,2042,100
266.4,3409,100
268.2,3364,100
270,3325,100
271.8,3287,100
273.6,597,100
275.4,591,100
277.2,585,100
279,581,100
280.8,578,100
282.6,575,100
284.4,573,100
286.2,573,100
288,572,100
289.8,571,100
291.6,571,100
293.4,571,100
295.2,572,100
297,573,100
298.8,577,100
300.6,580,100
302.4,585,100
304.2,591,100
306,508,100
307.8,498,100
309.6,512,100
311.4,613,100
313.2,621,100
315,-1000,0
316.8,-1000,0
318.6,-1000,0
320.4,-1000,0
322.2,-1000,0
324,-1000,0
325.8,-1000,0
327.6,-1000,0
329.4,-1000,0
331.2,155,100
333,-1000,0
334.8,155,100
336.6,-1000,0
338.4,357,100
340.2,347,100
342,341,100
343.8,22811,100
345.6,322,100
347.4,314,100
349.2,311,100
351,305,100
352.8,303,100
354.6,-1000,0
356.4,-1000,0
358.2,3076,100
360,774,100
